<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GAZP,60,04/01/16,11:00,135.9600000
GAZP,60,04/01/16,12:00,134.6700000
GAZP,60,04/01/16,13:00,135.1500000
GAZP,60,04/01/16,14:00,135.2200000
GAZP,60,04/01/16,15:00,135.1100000
GAZP,60,04/01/16,16:00,134.9700000
GAZP,60,04/01/16,17:00,135.1300000
GAZP,60,04/01/16,18:00,135.1500000
GAZP,60,04/01/16,19:00,134.9100000
GAZP,60,05/01/16,11:00,135.0600000
GAZP,60,05/01/16,12:00,135.9300000
GAZP,60,05/01/16,13:00,135.3100000
GAZP,60,05/01/16,14:00,135.0700000
GAZP,60,05/01/16,15:00,135.2200000
GAZP,60,05/01/16,16:00,135.6400000
GAZP,60,05/01/16,17:00,136.7400000
GAZP,60,05/01/16,18:00,136.1900000
GAZP,60,05/01/16,19:00,136.4500000
GAZP,60,06/01/16,11:00,136.5100000
GAZP,60,06/01/16,12:00,136.4600000
GAZP,60,06/01/16,13:00,136.2400000
GAZP,60,06/01/16,14:00,135.4500000
GAZP,60,06/01/16,15:00,135.6800000
GAZP,60,06/01/16,16:00,135.8200000
GAZP,60,06/01/16,17:00,135.9700000
GAZP,60,06/01/16,18:00,135.6200000
GAZP,60,06/01/16,19:00,135.9400000
GAZP,60,11/01/16,11:00,132.6200000
GAZP,60,11/01/16,12:00,132.8600000
GAZP,60,11/01/16,13:00,132.5000000
GAZP,60,11/01/16,14:00,131.9700000
GAZP,60,11/01/16,15:00,131.6300000
GAZP,60,11/01/16,16:00,131.7500000
GAZP,60,11/01/16,17:00,131.9300000
GAZP,60,11/01/16,18:00,131.8100000
GAZP,60,11/01/16,19:00,131.3800000
GAZP,60,12/01/16,11:00,131.0900000
GAZP,60,12/01/16,12:00,131.9300000
GAZP,60,12/01/16,13:00,133.4100000
GAZP,60,12/01/16,14:00,134.7500000
GAZP,60,12/01/16,15:00,133.8300000
GAZP,60,12/01/16,16:00,134.0200000
GAZP,60,12/01/16,17:00,134.6700000
GAZP,60,12/01/16,18:00,134.5500000
GAZP,60,12/01/16,19:00,133.5400000
GAZP,60,13/01/16,11:00,134.1700000
GAZP,60,13/01/16,12:00,133.7000000
GAZP,60,13/01/16,13:00,133.0700000
GAZP,60,13/01/16,14:00,133.0300000
GAZP,60,13/01/16,15:00,132.5400000
GAZP,60,13/01/16,16:00,132.2700000
GAZP,60,13/01/16,17:00,132.2400000
GAZP,60,13/01/16,18:00,132.0700000
GAZP,60,13/01/16,19:00,131.3000000
GAZP,60,14/01/16,11:00,131.2600000
GAZP,60,14/01/16,12:00,130.7300000
GAZP,60,14/01/16,13:00,130.4200000
GAZP,60,14/01/16,14:00,130.3900000
GAZP,60,14/01/16,15:00,129.9900000
GAZP,60,14/01/16,16:00,130.0200000
GAZP,60,14/01/16,17:00,130.0000000
GAZP,60,14/01/16,18:00,129.4100000
GAZP,60,14/01/16,19:00,130.8600000
GAZP,60,15/01/16,11:00,131.8700000
GAZP,60,15/01/16,12:00,129.6900000
GAZP,60,15/01/16,13:00,130.0000000
GAZP,60,15/01/16,14:00,127.1500000
GAZP,60,15/01/16,15:00,126.0600000
GAZP,60,15/01/16,16:00,125.7500000
GAZP,60,15/01/16,17:00,125.6000000
GAZP,60,15/01/16,18:00,125.9100000
GAZP,60,15/01/16,19:00,125.1000000
GAZP,60,18/01/16,11:00,124.3400000
GAZP,60,18/01/16,12:00,125.0800000
GAZP,60,18/01/16,13:00,124.5700000
GAZP,60,18/01/16,14:00,125.1300000
GAZP,60,18/01/16,15:00,125.5500000
GAZP,60,18/01/16,16:00,124.5200000
GAZP,60,18/01/16,17:00,124.3800000
GAZP,60,18/01/16,18:00,124.7100000
GAZP,60,18/01/16,19:00,124.6000000
GAZP,60,19/01/16,11:00,127.6900000
GAZP,60,19/01/16,12:00,127.1000000
GAZP,60,19/01/16,13:00,127.5800000
GAZP,60,19/01/16,14:00,127.9100000
GAZP,60,19/01/16,15:00,128.2500000
GAZP,60,19/01/16,16:00,127.7000000
GAZP,60,19/01/16,17:00,127.6300000
GAZP,60,19/01/16,18:00,125.8000000
GAZP,60,19/01/16,19:00,125.9800000
GAZP,60,20/01/16,11:00,123.8500000
GAZP,60,20/01/16,12:00,123.6800000
GAZP,60,20/01/16,13:00,124.2700000
GAZP,60,20/01/16,14:00,124.3000000
GAZP,60,20/01/16,15:00,124.3200000
GAZP,60,20/01/16,16:00,124.9900000
GAZP,60,20/01/16,17:00,124.7800000
GAZP,60,20/01/16,18:00,124.7000000
GAZP,60,20/01/16,19:00,125.8300000
GAZP,60,21/01/16,11:00,126.4800000
GAZP,60,21/01/16,12:00,126.9900000
GAZP,60,21/01/16,13:00,127.1700000
GAZP,60,21/01/16,14:00,126.8100000
GAZP,60,21/01/16,15:00,126.5000000
GAZP,60,21/01/16,16:00,126.7200000
GAZP,60,21/01/16,17:00,127.1700000
GAZP,60,21/01/16,18:00,127.1100000
GAZP,60,21/01/16,19:00,127.7500000
GAZP,60,22/01/16,11:00,129.8100000
GAZP,60,22/01/16,12:00,129.9600000
GAZP,60,22/01/16,13:00,128.5700000
GAZP,60,22/01/16,14:00,129.1400000
GAZP,60,22/01/16,15:00,131.1000000
GAZP,60,22/01/16,16:00,131.6100000
GAZP,60,22/01/16,17:00,131.9000000
GAZP,60,22/01/16,18:00,132.8000000
GAZP,60,22/01/16,19:00,132.4000000
GAZP,60,25/01/16,11:00,131.3800000
GAZP,60,25/01/16,12:00,131.1900000
GAZP,60,25/01/16,13:00,131.1500000
GAZP,60,25/01/16,14:00,131.7600000
GAZP,60,25/01/16,15:00,131.6900000
GAZP,60,25/01/16,16:00,132.4600000
GAZP,60,25/01/16,17:00,131.7600000
GAZP,60,25/01/16,18:00,132.3100000
GAZP,60,25/01/16,19:00,133.0000000
GAZP,60,26/01/16,11:00,131.3800000
GAZP,60,26/01/16,12:00,131.8500000
GAZP,60,26/01/16,13:00,131.5700000
GAZP,60,26/01/16,14:00,131.9300000
GAZP,60,26/01/16,15:00,131.8800000
GAZP,60,26/01/16,16:00,131.8100000
GAZP,60,26/01/16,17:00,131.8700000
GAZP,60,26/01/16,18:00,132.0900000
GAZP,60,26/01/16,19:00,131.8900000
GAZP,60,27/01/16,11:00,132.2900000
GAZP,60,27/01/16,12:00,132.7100000
GAZP,60,27/01/16,13:00,131.9600000
GAZP,60,27/01/16,14:00,132.9400000
GAZP,60,27/01/16,15:00,133.3000000
GAZP,60,27/01/16,16:00,133.2200000
GAZP,60,27/01/16,17:00,133.3500000
GAZP,60,27/01/16,18:00,133.8200000
GAZP,60,27/01/16,19:00,134.0000000
GAZP,60,28/01/16,11:00,134.6500000
GAZP,60,28/01/16,12:00,134.4500000
GAZP,60,28/01/16,13:00,134.4900000
GAZP,60,28/01/16,14:00,134.7200000
GAZP,60,28/01/16,15:00,134.3500000
GAZP,60,28/01/16,16:00,134.5500000
GAZP,60,28/01/16,17:00,134.8500000
GAZP,60,28/01/16,18:00,135.4200000
GAZP,60,28/01/16,19:00,136.5000000
GAZP,60,29/01/16,11:00,136.5000000
GAZP,60,29/01/16,12:00,136.7500000
GAZP,60,29/01/16,13:00,134.2700000
GAZP,60,29/01/16,14:00,133.7900000
GAZP,60,29/01/16,15:00,134.1000000
GAZP,60,29/01/16,16:00,134.3200000
GAZP,60,29/01/16,17:00,134.6300000
GAZP,60,29/01/16,18:00,135.9000000
GAZP,60,29/01/16,19:00,136.6000000
GAZP,60,01/02/16,11:00,134.5600000
GAZP,60,01/02/16,12:00,134.9100000
GAZP,60,01/02/16,13:00,134.5900000
GAZP,60,01/02/16,14:00,134.2800000
GAZP,60,01/02/16,15:00,133.1300000
GAZP,60,01/02/16,16:00,133.3400000
GAZP,60,01/02/16,17:00,133.2400000
GAZP,60,01/02/16,18:00,133.2300000
GAZP,60,01/02/16,19:00,133.9000000
GAZP,60,02/02/16,11:00,134.2700000
GAZP,60,02/02/16,12:00,134.4000000
GAZP,60,02/02/16,13:00,134.8500000
GAZP,60,02/02/16,14:00,134.3600000
GAZP,60,02/02/16,15:00,132.4000000
GAZP,60,02/02/16,16:00,133.0000000
GAZP,60,02/02/16,17:00,132.4200000
GAZP,60,02/02/16,18:00,132.3400000
GAZP,60,02/02/16,19:00,132.5000000
GAZP,60,03/02/16,11:00,132.2100000
GAZP,60,03/02/16,12:00,132.2100000
GAZP,60,03/02/16,13:00,132.0700000
GAZP,60,03/02/16,14:00,132.0100000
GAZP,60,03/02/16,15:00,132.1500000
GAZP,60,03/02/16,16:00,132.6100000
GAZP,60,03/02/16,17:00,132.5300000
GAZP,60,03/02/16,18:00,132.0400000
GAZP,60,03/02/16,19:00,131.0100000
GAZP,60,04/02/16,11:00,133.7900000
GAZP,60,04/02/16,12:00,133.3300000
GAZP,60,04/02/16,13:00,133.3500000
GAZP,60,04/02/16,14:00,133.2500000
GAZP,60,04/02/16,15:00,133.5100000
GAZP,60,04/02/16,16:00,133.4500000
GAZP,60,04/02/16,17:00,133.2600000
GAZP,60,04/02/16,18:00,134.9800000
GAZP,60,04/02/16,19:00,135.0700000
GAZP,60,05/02/16,11:00,134.4900000
GAZP,60,05/02/16,12:00,134.8700000
GAZP,60,05/02/16,13:00,135.4100000
GAZP,60,05/02/16,14:00,135.5400000
GAZP,60,05/02/16,15:00,135.7100000
GAZP,60,05/02/16,16:00,135.9700000
GAZP,60,05/02/16,17:00,135.0100000
GAZP,60,05/02/16,18:00,134.1500000
GAZP,60,05/02/16,19:00,134.4300000
GAZP,60,08/02/16,11:00,134.0900000
GAZP,60,08/02/16,12:00,134.8400000
GAZP,60,08/02/16,13:00,132.9400000
GAZP,60,08/02/16,14:00,133.3200000
GAZP,60,08/02/16,15:00,133.6700000
GAZP,60,08/02/16,16:00,133.8400000
GAZP,60,08/02/16,17:00,134.4100000
GAZP,60,08/02/16,18:00,133.7100000
GAZP,60,08/02/16,19:00,133.5000000
GAZP,60,09/02/16,11:00,134.1700000
GAZP,60,09/02/16,12:00,134.8900000
GAZP,60,09/02/16,13:00,133.4300000
GAZP,60,09/02/16,14:00,133.8800000
GAZP,60,09/02/16,15:00,133.6300000
GAZP,60,09/02/16,16:00,132.7600000
GAZP,60,09/02/16,17:00,132.7600000
GAZP,60,09/02/16,18:00,133.0900000
GAZP,60,09/02/16,19:00,132.7000000
GAZP,60,10/02/16,11:00,132.6700000
GAZP,60,10/02/16,12:00,133.2000000
GAZP,60,10/02/16,13:00,133.1900000
GAZP,60,10/02/16,14:00,133.0200000
GAZP,60,10/02/16,15:00,133.4300000
GAZP,60,10/02/16,16:00,133.3600000
GAZP,60,10/02/16,17:00,133.5300000
GAZP,60,10/02/16,18:00,132.8900000
GAZP,60,10/02/16,19:00,133.0300000
GAZP,60,11/02/16,11:00,132.2900000
GAZP,60,11/02/16,12:00,131.5000000
